,Arad,Zerind,Timisoara,Oradea,Lugoj,Mehadia,Drobeta,Sibiu,Rimnicu V,Craiova,Fagaras,Pitesti,Bucharest,Giurgiu,Urziceni,Hirsova,Eforie,Vaslui,Iasi,Neamt
Arad,0.0,75.0,118.0,146.0,229.0,299.0,374.0,140.0,220.0,366.0,239.0,317.0,418.0,508.0,503.0,601.0,687.0,645.0,737.0,834.0
Zerind,75.0,0.0,193.0,71.0,304.0,374.0,449.0,215.0,295.0,441.0,314.0,392.0,493.0,583.0,578.0,676.0,762.0,720.0,812.0,909.0
Timisoara,118.0,193.0,0.0,264.0,111.0,181.0,256.0,258.0,338.0,376.0,357.0,435.0,536.0,626.0,621.0,719.0,805.0,763.0,855.0,952.0
Oradea,146.0,71.0,264.0,0.0,375.0,445.0,497.0,151.0,231.0,377.0,250.0,328.0,429.0,519.0,514.0,612.0,698.0,656.0,748.0,845.0
Lugoj,229.0,304.0,111.0,375.0,0.0,70.0,145.0,369.0,411.0,265.0,468.0,403.0,504.0,594.0,589.0,687.0,773.0,731.0,823.0,920.0
Mehadia,299.0,374.0,181.0,445.0,70.0,0.0,75.0,421.0,341.0,195.0,520.0,333.0,434.0,524.0,519.0,617.0,703.0,661.0,753.0,850.0
Drobeta,374.0,449.0,256.0,497.0,145.0,75.0,0.0,346.0,266.0,120.0,445.0,258.0,359.0,449.0,444.0,542.0,628.0,586.0,678.0,775.0
Sibiu,140.0,215.0,258.0,151.0,369.0,421.0,346.0,0.0,80.0,226.0,99.0,177.0,278.0,368.0,363.0,461.0,547.0,505.0,597.0,694.0
Rimnicu V,220.0,295.0,338.0,231.0,411.0,341.0,266.0,80.0,0.0,146.0,179.0,97.0,198.0,288.0,283.0,381.0,467.0,425.0,517.0,614.0
Craiova,366.0,441.0,376.0,377.0,265.0,195.0,120.0,226.0,146.0,0.0,325.0,138.0,239.0,329.0,324.0,422.0,508.0,466.0,558.0,655.0
Fagaras,239.0,314.0,357.0,250.0,468.0,520.0,445.0,99.0,179.0,325.0,0.0,276.0,211.0,301.0,296.0,394.0,480.0,438.0,530.0,627.0
Pitesti,317.0,392.0,435.0,328.0,403.0,333.0,258.0,177.0,97.0,138.0,276.0,0.0,101.0,191.0,186.0,284.0,370.0,328.0,420.0,517.0
Bucharest,418.0,493.0,536.0,429.0,504.0,434.0,359.0,278.0,198.0,239.0,211.0,101.0,0.0,90.0,85.0,183.0,269.0,227.0,319.0,416.0
Giurgiu,508.0,583.0,626.0,519.0,594.0,524.0,449.0,368.0,288.0,329.0,301.0,191.0,90.0,0.0,175.0,273.0,359.0,317.0,409.0,506.0
Urziceni,503.0,578.0,621.0,514.0,589.0,519.0,444.0,363.0,283.0,324.0,296.0,186.0,85.0,175.0,0.0,98.0,184.0,142.0,234.0,331.0
Hirsova,601.0,676.0,719.0,612.0,687.0,617.0,542.0,461.0,381.0,422.0,394.0,284.0,183.0,273.0,98.0,0.0,86.0,240.0,332.0,429.0
Eforie,687.0,762.0,805.0,698.0,773.0,703.0,628.0,547.0,467.0,508.0,480.0,370.0,269.0,359.0,184.0,86.0,0.0,326.0,418.0,515.0
Vaslui,645.0,720.0,763.0,656.0,731.0,661.0,586.0,505.0,425.0,466.0,438.0,328.0,227.0,317.0,142.0,240.0,326.0,0.0,92.0,189.0
Iasi,737.0,812.0,855.0,748.0,823.0,753.0,678.0,597.0,517.0,558.0,530.0,420.0,319.0,409.0,234.0,332.0,418.0,92.0,0.0,97.0
Neamt,834.0,909.0,952.0,845.0,920.0,850.0,775.0,694.0,614.0,655.0,627.0,517.0,416.0,506.0,331.0,429.0,515.0,189.0,97.0,0.0
